fosterId,lastName,firstName,emailAddress,gender,userAddress,userCity,userState,userZipCode,phone,birthDate,employmentStatus,fosterActivity,specialNeedsExp,hoursAway,applicationId
51035,Halliburton,De Ja,HalliburtonD@msn.com,female,4123 Village Ct,Annandale,VA,22033,258-165-7384,1980-12-18,Employed,Inactive Foster,no,6,61135
51036,Jaramillo,Jessica,JaramilloJ@aol.com,female,500 N Roosevelt St,Falls Church,VA,22044,932-349-3956,1991-10-08,Retired,Inactive Foster,no,10,61136
51037,Ha,Kyleigh,HaK@aol.com,female,500 N Roosevelt St,Falls Church,VA,22044,594-761-2834,1998-03-23,Employed,Inactive Foster,no,12,61137
51038,Iritani,Angela,IritaniA@gmail.com,female,2724 S Arlington Ridge Rd,Arlington,VA,22202,928-679-2167,1992-01-02,Unemployed,Active Foster,no,10,61138
51039,Wong,Sara,WongS@aol.com,female,2400 Queens Chapel Rd,Hyattsville,MD,20782,423-576-4176,1956-03-04,Employed,Active Foster,no,11,61139
51040,Clark,Mackenzie,ClarkM@aol.com,female,950 25th St NW,Washington,DC,20037,685-295-9273,1964-03-29,Retired,Active Foster,yes,3,61140
51041,Carter,Camara,CarterC@gmail.com,female,5603 Cypress Creek Dr,Chillum,MD,20782,178-832-2391,2005-03-24,Employed,Active Foster,no,9,61141
51042,Watkins,Chevantey,WatkinsC@msn.com,female,5603 Cypress Creek Dr,Chillum,MD,20783,168-198-2896,1970-01-02,Employed,Inactive Foster,no,10,61142
51043,Hilts,Natalya,HiltsN@aol.com,female,5340 Holmes Run Pkwy,Alexandria,VA,22304,357-157-3971,1968-04-06,Employed,Inactive Foster,no,11,61143
51044,Vogltanz,Brianna,VogltanzB@aol.com,female,4101 Kaywood Pl,Mt Rainier,MD,20712,542-526-7182,1988-12-13,Unemployed,Inactive Foster,yes,2,61144
51045,Jacket,Shania,JacketS@gmail.com,female,4101 Kaywood Pl,Mt Rainier,MD,20713,982-917-1824,1980-11-20,Employed,Active Foster,no,7,61145
51046,Khanthavong,Ashley,KhanthavongA@msn.com,female,6706 Farragut Ave,Falls Church,VA,22042,731-736-5817,1983-07-26,Employed,Active Foster,yes,4,61146
51047,Fabela,Nasteh,FabelaN@aol.com,female,3001 Branch Ave,Hillcrest Heights,MD,20748,651-714-9175,1979-06-04,Employed,Inactive Foster,yes,7,61147
51048,Duong,Ashley,DuongA@aol.com,female,2740 32nd St NW,Washington,DC,20008,827-736-9817,1981-07-03,Employed,Inactive Foster,no,3,61148
51049,el-Shehadeh,Sitaara,el-ShehadehS@msn.com,female,4545 Wheeler Rd,Glassmanor,MD,20745,249-752-4973,1986-02-08,Employed,Active Foster,yes,5,61149
51050,Kasper,Taylor,KasperT@aol.com,female,831 Rock Creek Church Rd NW,Washington,DC,20010,946-739-5348,1964-02-09,Employed,Inactive Foster,no,10,61150
51051,Burns,Shaqua,BurnsS@aol.com,female,3301 King St,Alexandria,VA,22302,894-421-7612,1989-01-13,Employed,Inactive Foster,no,4,61151
51052,Smith,Marybeth,SmithM@gmail.com,female,3466 Brinkley Rd,Temple Hills,MD,20748,931-751-3721,1967-01-13,Student,Inactive Foster,no,9,61152
51053,Pinnecoose,Angelique,PinnecooseA@msn.com,female,13205 Franklin View Ct,Fairfax,VA,22033,753-487-2514,1995-04-27,Employed,Inactive Foster,no,2,61153
51054,Cardenas,Marianne,CardenasM@aol.com,female,4608 Battenburg Ln,Fairfax,VA,22030,271-273-5869,2002-01-21,Employed,Active Foster,no,5,61154
51055,Siddiqui,Allison,SiddiquiA@aol.com,female,10833 Verde Vista Dr,Fairfax,VA,22030,619-781-8396,1970-12-15,Unemployed,Active Foster,no,4,61155
51056,Vigil,Maggie Rose,VigilM@gmail.com,female,12312 Field Lark Ln,Fairfax,VA,22030,215-178-2967,1975-09-06,Employed,Active Foster,no,10,61156
51057,Powell,Alisha,PowellA@msn.com,female,9459 Fairfax Blvd,Fairfax,VA,22031,349-639-4318,2003-08-04,Student,Active Foster,no,8,61157
51058,al-Pirani,Juwairiya,al-PiraniJ@aol.com,female,10809 Carol St,Fairfax,VA,22030,632-934-2643,1973-07-29,Unemployed,Inactive Foster,no,10,61158
51059,Mitchell,Daianna,MitchellD@gmail.com,female,3138 Barkley Dr,Fairfax,VA,22031,631-981-5813,1979-09-28,Student,Inactive Foster,no,12,61159
51060,Lamar,Anahi,LamarA@msn.com,female,13108 Poplar Tree Rd,Fairfax,VA,22033,589-176-8719,1949-07-28,Retired,Active Foster,no,5,61160
51061,Eberhart,Taylor,EberhartT@aol.com,female,2933 Everleigh Way,Fairfax,VA,22031,687-236-9617,1976-12-01,Employed,Inactive Foster,no,11,61161
51062,Harrison,Sarra,HarrisonS@aol.com,female,10825 Crest St,Fairfax,VA,22030,432-825-7852,1983-03-15,Employed,Active Foster,yes,5,61162
51063,Farmer,Katherine,FarmerK@gmail.com,female,12806 Madeley Ct,Fairfax,VA,22033,192-812-9567,1990-09-19,Employed,Active Foster,no,1,61163
51064,Rosenlof,Kristin,RosenlofK@msn.com,female,9931 Great Oaks Way,Fairfax,VA,22030,749-951-6714,1991-05-07,Employed,Active Foster,no,1,61164
51065,Johnson,Janee,JohnsonJ@aol.com,female,4617 Carsbrooke Ln,Fairfax,VA,22030,923-134-3574,2004-11-22,Student,Inactive Foster,no,9,61165
51066,Marshall,Jenna,MarshallJ@aol.com,female,13116 Pennerview Ln,Fairfax,VA,22033,265-349-8562,1990-04-17,Employed,Active Foster,no,11,61166
51067,Pelz,Kayla,PelzK@gmail.com,female,12703 Sabastian Dr,Fairfax,VA,22030,281-682-9127,1981-01-22,Employed,Inactive Foster,no,12,61167
51068,Berg,Jessica,BergJ@msn.com,female,10003 Five Oaks Rd,Fairfax,VA,22031,986-342-7645,1967-03-21,Employed,Active Foster,yes,6,61168
51069,Stibbs,Tamikah,StibbsT@aol.com,female,5912 Melvern Dr,Bethesda,MD,20817,926-764-6749,1955-06-15,Retired,Inactive Foster,no,2,61169
51070,Barnhill,Nadezhda,BarnhillN@gmail.com,female,6208 Bradley Blvd,Bethesda,MD,20817,782-251-2395,1980-03-17,Student,Inactive Foster,no,3,61170
51071,Gutierrez,Paola,GutierrezP@msn.com,female,4504 N Chelsea Ln,Bethesda,MD,20814,792-248-6419,1954-06-28,Student,Active Foster,yes,4,61171
51072,Dayton,Julia,DaytonJ@aol.com,female,6832 Tulip Hill Ter,Bethesda,MD,20816,976-459-1689,1963-08-25,Retired,Active Foster,no,6,61172
51073,Foster,Pari,FosterP@aol.com,female,113 S Brook Ln,Bethesda,MD,20814,945-763-3419,1957-09-10,Employed,Inactive Foster,no,6,61173
51074,Bergner,Keona,BergnerK@gmail.com,female,7342 Heatherhill Ct,Bethesda,MD,20817,627-253-2375,1965-02-28,Employed,Active Foster,no,4,61174
51075,Jennings,Haleema,JenningsH@msn.com,female,5304 Ventnor Rd,Bethesda,MD,20816,485-579-4957,1956-11-30,Employed,Inactive Foster,no,10,61175
51076,Bond,Charnae,BondC@aol.com,female,4609 Maple Ave,Bethesda,MD,20814,459-687-8236,1974-11-17,Employed,Active Foster,yes,4,61176
51077,Garcia,Jennifer,GarciaJ@aol.com,female,9217 E Parkhill Dr,Bethesda,MD,20814,968-613-5478,1960-10-13,Employed,Active Foster,no,3,61177
51078,Mitchell,Chantal,MitchellC@gmail.com,female,8017 Park Ln,Bethesda,MD,20814,193-376-7429,1952-01-26,Employed,Active Foster,no,2,61178
51079,Iron Wing,Nizhoni,Iron WingN@aol.com,female,3005 Chancellors Way NE,Washington,DC,20017,248-481-8123,1960-03-08,Retired,Active Foster,no,9,61179
51080,Kim,Thaleia,KimT@aol.com,female,1607 28th St NW,Washington,DC,20007,721-296-7561,1967-07-30,Student,Active Foster,no,7,61180
51081,Hill,Allison,HillA@gmail.com,female,7201 Dulany Ct,Mclean,VA,22101,431-462-6293,1968-06-20,Employed,Active Foster,no,8,61181
51082,Lofton,Britney,LoftonB@msn.com,female,2030 N Quinn St,Arlington,VA,22209,178-653-1645,1996-12-31,Retired,Active Foster,no,2,61182
51083,Scott,Katie,ScottK@aol.com,female,1526 17th St NW,Washington,DC,20036,546-718-8493,1984-04-01,Retired,Active Foster,yes,10,61183
51084,Lenard,Marina,LenardM@aol.com,female,2815 Woodland Dr NW,Washington,DC,20008,652-634-4287,1957-07-15,Employed,Active Foster,no,3,61184
51085,Yirdaw,Imani,YirdawI@gmail.com,female,900 N Taylor St,Arlington,VA,22203,453-932-5374,1999-11-14,Unemployed,Inactive Foster,no,11,61185
51086,al-Tahir,Musfira,al-TahirM@msn.com,female,4400 Garfield St NW,Washington,DC,20007,431-534-8215,2006-12-05,Employed,Inactive Foster,no,2,61186
51087,al-Baig,Saahira,al-BaigS@aol.com,female,1439 Shippen Ln SE,Washington,DC,20020,271-879-4372,1963-05-31,Unemployed,Active Foster,no,10,61187
51088,el-Ramadan,Raihaana,el-RamadanR@aol.com,female,3528 Albemarle St NW,Washington,DC,20008,958-743-4352,1995-11-04,Employed,Inactive Foster,no,2,61188
51089,Le,Annick,LeA@msn.com,female,1000 New Jersey Ave SE,Washington,DC,20003,625-652-4329,1966-08-19,Retired,Active Foster,yes,7,61189
51090,Holt,Gracie,HoltG@aol.com,female,1661 Crescent Pl NW,Washington,DC,20009,124-598-9875,1996-10-30,Student,Active Foster,no,8,61190
51091,Vigil,Krystal,VigilK@aol.com,female,1207 Buchanan St,Mclean,VA,22101,782-714-7128,1954-11-04,Employed,Active Foster,no,5,61191
51092,Jones-Malone,Diandra,Jones-MaloneD@gmail.com,female,6478 Oakwood Dr,Falls Church,VA,22041,835-723-4651,2001-11-25,Student,Active Foster,no,7,61192
51093,Evans,Theresa,EvansT@msn.com,female,3117 Graydon St,Falls Church,VA,22042,348-638-9582,2000-05-18,Retired,Inactive Foster,no,6,61193
51094,Roberts,Vahine,RobertsV@aol.com,female,629 4th ST NE,Washington,DC,20002,463-524-9132,2002-07-03,Employed,Active Foster,no,4,61194
51095,Park,Kinsey,ParkK@aol.com,female,4319 18th St NW,Washington,DC,22011,615-138-4978,1947-12-12,Employed,Inactive Foster,no,10,61195
51096,Munio,Kelsie,MunioK@gmail.com,female,3246 S Utah St,Arlington,VA,22206,379-786-1348,1949-06-19,Student,Active Foster,yes,11,61196
51097,Echohawk,Jera,EchohawkJ@msn.com,female,4017 22nd St N,Arlington,VA,22207,875-571-3267,1966-06-05,Student,Active Foster,no,8,61197
51098,Henderson,Rahimah,HendersonR@aol.com,female,2228 Mclean Park Rd,Falls Church,VA,22043,563-697-9452,1951-11-11,Employed,Active Foster,no,7,61198
51099,Clark,Brenda,ClarkB@aol.com,female,653 Morton Pl NE,Washington,DC,20002,528-937-7256,1990-04-17,Employed,Active Foster,no,7,61199
51100,Campos-Castro,Lizdemar,Campos-CastroL@gmail.com,female,3326 E St SE,Washington,DC,20019,741-973-2763,1996-11-01,Retired,Active Foster,no,11,61200
51101,Costello,Kathryn,CostelloK@msn.com,female,5400 Cathedral Ave NW,Washington,DC,20016,624-823-7213,1996-06-23,Unemployed,Active Foster,no,2,61201
51102,Thomas,Courtney,ThomasC@aol.com,female,5886 Leesburg Pike,Falls Church,VA,22041,481-759-7623,1981-05-05,Retired,Active Foster,no,2,61202
51103,al-Salam,Raita,al-SalamR@aol.com,female,7451 Patterson Rd,Falls Church,VA,22043,187-365-6892,1991-01-16,Employed,Inactive Foster,yes,3,61203
51104,Temple,Myanne,TempleM@gmail.com,female,809 Graham Rd,Falls Church,VA,22042,512-249-5843,1971-02-07,Student,Active Foster,no,9,61204
51105,el-Kamara,Zaitoona,el-KamaraZ@msn.com,female,6211 Leesburg Pike,Falls Church,VA,22044,574-236-1853,1987-12-30,Employed,Inactive Foster,no,7,61205
51106,al-Hammad,Manaahil,al-HammadM@aol.com,female,843 Cabell Avenue,Charlottesville,VA,22903,189-648-7496,1991-10-21,Student,Inactive Foster,yes,1,61206
51107,Corral Rocha,Karla,Corral RochaK@aol.com,female,5840 Crossroads Ctr,Falls Church,VA,22041,954-916-4531,1986-04-06,Employed,Inactive Foster,no,8,61207
51108,Hester,Tymiya,HesterT@gmail.com,female,155 Hillwood Avenue,Falls Church,VA,22046,817-798-5821,1987-08-10,Retired,Active Foster,no,6,61208
51109,Arguello,Charlotte,ArguelloC@aol.com,female,5300 Wisconsin Ave NW,Washington,DC,20015,972-145-1826,1989-02-01,Employed,Inactive Foster,no,2,61209
51110,al-Sulaiman,Faseeha,al-SulaimanF@aol.com,female,1201 G St NW,Washington,DC,20005,346-347-2654,1954-08-17,Employed,Active Foster,no,9,61210
51111,Manglona,Marisa,ManglonaM@gmail.com,female,5333 Wisconsin Ave NW,Washington,DC,20015,127-239-3216,1977-04-23,Employed,Active Foster,no,1,61211
51112,Masingale,Santee,MasingaleS@msn.com,female,2747 Martin Luther King Jr Ave SE,Washington,DC,20032,384-183-1836,1963-07-29,Retired,Inactive Foster,yes,11,61212
51113,el-Mannan,Nadiyya,el-MannanN@aol.com,female,3921 S Capitol St SW,Washington,DC,20032,295-368-3578,2010-12-28,Retired,Active Foster,no,4,61213
51114,Sciortino,Sarah,SciortinoS@aol.com,female,1608 20th St NW,Washington,DC,20009,846-832-6371,1996-03-15,Employed,Active Foster,no,8,61214
51115,Otero,Tiana,OteroT@gmail.com,female,5100 Wisconsin Ave NW,Washington,DC,20016,923-657-1576,2003-05-04,Retired,Inactive Foster,no,11,61215
51116,Sanchez,Anna Cynthia,SanchezA@msn.com,female,1440 P St NW,Washington,DC,20005,472-645-6983,1982-03-22,Employed,Inactive Foster,no,11,61216
51117,al-Awan,Haniyya,al-AwanH@aol.com,female,1345 Park Rd NW,Washington,DC,20010,453-253-8192,1964-09-13,Retired,Active Foster,no,6,61217
51118,Candelaria,Cassandra,CandelariaC@aol.com,female,501 3rd St NW,Washington,DC,20001,745-579-2817,2003-12-15,Employed,Inactive Foster,yes,5,61218
51119,Byrd,Jordan,ByrdJ@msn.com,female,1317 Pennsylvania Ave SE,Washington,DC,20003,972-438-3826,1980-02-27,Employed,Inactive Foster,yes,2,61219
51120,Baca,Stephanie,BacaS@aol.com,female,4616 14th St NW,Washington,DC,20011,916-596-3187,1967-08-24,Employed,Active Foster,yes,5,61220
51121,Kim,Sana,KimS@aol.com,female,826 18th St NW,Washington,DC,20006,387-862-1963,1960-04-26,Employed,Active Foster,no,10,61221
51122,Hankawa,Joan,HankawaJ@gmail.com,female,1101 25th St NW,Washington,DC,20037,967-251-6348,2009-12-17,Student,Inactive Foster,no,9,61222
51123,Iantorno,Judy,IantornoJ@msn.com,female,1319 18th St NW,Washington,DC,20036,738-748-3857,2007-08-07,Student,Active Foster,yes,6,61223
51124,Laduke Blue,Khadijha,Laduke BlueK@aol.com,female,1807 18th St NW,Washington,DC,20009,748-627-2549,1983-01-14,Employed,Active Foster,no,6,61224
51125,el-Naderi,Muneera,el-NaderiM@aol.com,female,300 Morse St NE,Washington,DC,20002,821-678-1237,1972-09-10,Employed,Active Foster,no,5,61225
51126,Holiday,Jasmine,HolidayJ@gmail.com,female,516 23rd St NW,Washington,DC,20037,152-372-6437,1979-08-17,Retired,Inactive Foster,no,8,61226
51127,Krpan,Kimberly,KrpanK@msn.com,female,529 14th St NW,Washington,DC,20045,635-281-2934,1960-12-02,Student,Inactive Foster,no,3,61227
51128,Todd,Shelbie,ToddS@aol.com,female,3100 14th St NW,Washington,DC,20010,894-184-8541,1960-04-13,Employed,Active Foster,no,2,61228
51129,Wallman,Erin,WallmanE@gmail.com,female,94 Palmer Aly NW,Washington,DC,20001,156-759-9328,1993-01-09,Student,Active Foster,no,8,61229
51130,Carrillo,Karla,CarrilloK@msn.com,female,1548 Benning Rd NE,Washington,DC,20002,579-962-3627,1948-08-20,Retired,Inactive Foster,yes,6,61230
51131,al-Moradi,Lubaaba,al-MoradiL@aol.com,female,2305 Rhode Island Ave NE,Washington,DC,20018,928-754-7682,2000-07-25,Employed,Active Foster,yes,8,61231
51132,Brandon,Carolina,BrandonC@aol.com,female,1251 9th St NW,Washington,DC,20001,981-738-1729,1980-03-29,Employed,Active Foster,yes,8,61232
51133,Nelson,Cera,NelsonC@gmail.com,female,908 17th St NW,Washington,DC,20006,213-258-3852,2007-12-21,Employed,Active Foster,no,2,61233
51134,Trujillo,Ashley,TrujilloA@msn.com,female,111 19th St NW,Washington,DC,20036,753-219-6219,1982-03-24,Student,Inactive Foster,no,11,61234
51135,Navarro,Emma,NavarroE@aol.com,female,1230 New York Ave NE,Washington,DC,20002,875-798-7345,2008-09-05,Employed,Inactive Foster,yes,5,61235
51136,Ayers,Kelsey,AyersK@aol.com,female,3030 M St NW,Washington,DC,20007,453-239-3574,1967-08-08,Retired,Inactive Foster,yes,10,61236
51137,Rieber,Erin,RieberE@gmail.com,female,2516 Columbia Pike,Arlington,VA,22204,394-261-1623,1965-08-22,Student,Inactive Foster,no,12,61237
51138,al-Rashid,Zarqaa,al-RashidZ@msn.com,female,2501 9th Rd S,Arlington,VA,22204,265-149-4951,2009-12-11,Unemployed,Active Foster,yes,3,61238
51139,White,Lubna,WhiteL@aol.com,female,300 N Glebe Rd,Arlington,VA,22203,291-654-8269,1998-12-25,Student,Active Foster,no,7,61239
51140,Chareunsouk,Gina,ChareunsoukG@gmail.com,female,1201 S Hayes St,Arlington,VA,22202,297-746-7692,1966-03-10,Employed,Inactive Foster,yes,3,61240
51141,White,Markeisha,WhiteM@msn.com,female,1200 N Veitch St,Arlington,VA,22201,412-764-4916,1992-04-16,Employed,Active Foster,no,4,61241
51142,Musselman,Charline,MusselmanC@aol.com,female,1625 Wilson Blvd,Arlington,VA,22209,265-428-4917,1964-10-16,Employed,Active Foster,no,1,61242
51143,Compton,Tika,ComptonT@aol.com,female,2324 Columbia Pike,Arlington,VA,22204,837-794-9725,1947-05-04,Employed,Active Foster,yes,3,61243
51144,al-Musa,Mahbooba,al-MusaM@gmail.com,female,1810 N Moore St,Arlington,VA,22209,965-718-4576,1974-06-09,Employed,Active Foster,no,8,61244
51145,Tan,Hannah,TanH@msn.com,female,1401 N Taft St,Arlington,VA,22201,634-794-1683,1985-11-09,Student,Inactive Foster,no,9,61245
51146,Van,Lorna,VanL@aol.com,female,1144 N Stuart St,Arlington,VA,22201,231-598-9428,1975-09-28,Employed,Active Foster,yes,8,61246
51147,Richter,Priscilla,RichterP@aol.com,female,4505 Lee Hwy,Arlington,VA,22207,168-297-3867,1969-04-07,Employed,Active Foster,no,9,61247
51148,Dare-Nickle,Amber,Dare-NickleA@gmail.com,female,1101 S Joyce St,Arlington,VA,22029,738-184-4765,1980-07-31,Employed,Active Foster,yes,2,61248
51149,King,Dacia,KingD@aol.com,female,2250 Clarendon Blvd,Arlington,VA,22201,873-261-1957,1965-10-24,Employed,Active Foster,no,12,61249
51150,al-Ally,Hasana,al-AllyH@aol.com,female,523 Carpenter Rd,Fort Myer,VA,22211,276-682-1863,1948-06-16,Retired,Active Foster,no,5,61250
51151,Cole,Rowan,ColeR@gmail.com,female,3610 Lee Hwy,Arlington,VA,22207,426-364-6513,1974-03-14,Student,Inactive Foster,yes,11,61251
51152,Cheeseman,Shamari,CheesemanS@msn.com,female,4100 Fairfax Dr,Arlington,VA,22203,245-638-1359,2010-05-12,Employed,Active Foster,yes,11,61252
51153,Pablo,Reynu,PabloR@aol.com,female,900 N Randolph St,Arlington,VA,22203,978-534-1237,1950-03-22,Student,Inactive Foster,no,5,61253
51154,Little,Elena,LittleE@aol.com,female,2501 9th Rd S,Arlington,VA,22204,624-251-8724,1988-07-02,Retired,Inactive Foster,no,9,61254
51155,Mason,Shauntece,MasonS@gmail.com,female,1201 S Courthouse Rd,Arlington,VA,22204,625-896-1738,1979-02-07,Employed,Active Foster,no,6,61255
51156,Gonzalez-Salina,Bianca,Gonzalez-SalinaB@msn.com,female,4200 Columbia Pike,Arlington,VA,22204,138-579-4736,1947-04-22,Employed,Inactive Foster,yes,2,61256
51157,Wilson,Tracy,WilsonT@aol.com,female,1235 Jefferson Davis Hwy,Arlington,VA,22202,732-284-9843,1959-01-20,Employed,Inactive Foster,yes,8,61257
51158,Jones,Ashanti,JonesA@aol.com,female,1201 S Eads St,Arlington,VA,22202,798-463-5293,1988-03-23,Employed,Inactive Foster,no,10,61258
51159,Mccaul,Meghan,MccaulM@msn.com,female,850 N Randolph St,Arlington,VA,22203,579-142-6198,2004-12-16,Retired,Inactive Foster,no,6,61259
51160,Vigil,Brigitt,VigilB@aol.com,female,850 N Randolph St,Arlington,VA,22203,143-695-5249,1980-05-24,Unemployed,Inactive Foster,yes,1,61260
51161,Thomas,Meshelle,ThomasM@aol.com,female,8039 Gatehouse Rd,Falls Church,VA,22042,368-431-5648,1966-12-20,Retired,Inactive Foster,no,5,61261
51162,Acevedo,Jennifer,AcevedoJ@gmail.com,female,2303 Bancroft Pl NW,Washington,DC,20008,185-843-4312,1972-10-30,Employed,Active Foster,yes,3,61262
51163,Hornbuckle,Phelan,HornbuckleP@msn.com,female,4326 9th ST NW,Washington,DC,22011,391-745-1928,1956-12-18,Retired,Active Foster,no,2,61263
51164,Reid,Jerusalem,ReidJ@aol.com,female,2800 Clarendon Blvd,Arlington,VA,22201,946-618-4269,1971-09-09,Employed,Active Foster,no,7,61264
51165,Montoya,Dawn,MontoyaD@aol.com,female,2800 Clarendon Blvd,Arlington,VA,22201,581-159-3284,1964-07-28,Employed,Active Foster,no,9,61265
51166,Lange,Alyxandra,LangeA@gmail.com,female,7013 Leestone St,Springfield,VA,22151,168-461-6327,2008-06-11,Student,Active Foster,no,4,61266
51167,Nix,Joann,NixJ@msn.com,female,2519 Afton St,Temple Hills,MD,20748,645-952-7512,1963-05-25,Employed,Active Foster,no,11,61267
51168,Mattingly,Jor Dun,MattinglyJ@aol.com,female,1320 N Veitch St,Arlington,VA,22201,215-742-8914,1994-10-28,Retired,Inactive Foster,no,3,61268
